Component,Version,Group,Is_Direct,License,Vulnerabilities
classmate,1.7.0,com.fasterxml,False,['Apache-2.0'],
spring-plugin-metadata,2.0.0.RELEASE,org.springframework.plugin,False,['Apache-2.0'],
swagger-annotations,1.5.20,io.swagger,False,['Apache-2.0'],
swagger-models,1.5.20,io.swagger,False,['Apache-2.0'],
mapstruct,1.3.1.Final,org.mapstruct,False,['Apache-2.0'],
tomcat-annotations-api,11.0.15,org.apache.tomcat,True,['Apache-2.0'],
velocity-engine-core,2.4.1,org.apache.velocity,True,['Apache-2.0'],
commons-lang3,3.18.0,org.apache.commons,False,['Apache-2.0'],
xml-apis,1.0.b2,xml-apis,True,['Apache-2.0'],
annotations,17.0.0,org.jetbrains,True,['Apache-2.0'],
byte-buddy,1.18.3,net.bytebuddy,True,['Apache-2.0'],
jackson-dataformat-yaml,2.20.1,com.fasterxml.jackson.dataformat,True,['Apache-2.0'],
snakeyaml,2.5,org.yaml,False,['Apache-2.0'],
jackson-datatype-jdk8,2.20.1,com.fasterxml.jackson.datatype,True,['Apache-2.0'],
jackson-dataformat-csv,2.20.1,com.fasterxml.jackson.dataformat,True,['Apache-2.0'],
jna,5.18.1,net.java.dev.jna,True,"['LGPL-2.1-or-later', 'Apache-2.0']",
kotlin-stdlib,2.3.0,org.jetbrains.kotlin,True,['Apache-2.0'],
log4j-core,2.25.3,org.apache.logging.log4j,True,['Apache-2.0'],
scala-reflect,2.13.18,org.scala-lang,True,['Apache-2.0'],
spring-plugin-core,4.0.0,org.springframework.plugin,True,['Apache-2.0'],
